time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/n_updates,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations
211968,27.0,41.58843994140625,58850.94494628906,-0.018643718605744652,-5.252049669623375,28498.32421875,0.0,0.008390015,0.0548828125,0.0003,0.2,1030,,,,,
212992,27.0,44.355682373046875,,,,,,,,,,,,,,,
214016,27.0,42.95906066894531,59305.297680664065,-0.020476254366803913,-5.232853443920613,33139.23046875,5.960464477539063e-08,0.009610183,0.06318359375,0.0003,0.2,1040,,,,,
215040,27.0,38.835906982421875,,,,,,,,,,,,,,,
216064,27.0,43.40595245361328,59124.149353027344,-0.02134107277088333,-5.231526082754135,27544.216796875,0.0,0.010238381,0.065283203125,0.0003,0.2,1050,,,,,
217088,27.0,37.591915130615234,,,,,,,,,,,,,,,
218112,27.0,40.96085739135742,59030.24172363281,-0.01976587842509616,-5.224345910549164,28004.697265625,0.0,0.00992246,0.059619140625,0.0003,0.2,1060,,,,,
219136,27.0,45.151084899902344,,,,,,,,,,,,,,,
220160,27.0,45.64448547363281,61117.98067626953,-0.02098479901906103,-5.208315554261207,32940.1328125,0.0,0.010181245,0.073046875,0.0003,0.2,1070,,,,,
221184,27.0,42.89174270629883,,,,,,,,,,,,,,,
222208,27.0,41.87553024291992,59679.099291992185,-0.020549306710017846,-5.187201093137264,32656.21484375,0.0,0.009105858,0.06142578125,0.0003,0.2,1080,,,,,
223232,27.0,43.15439224243164,,,,,,,,,,,,,,,
224256,27.0,40.6509895324707,57203.113293457034,-0.021854760248970706,-5.1697673693299295,31481.921875,0.0,0.009067035,0.069873046875,0.0003,0.2,1090,,,,,
225280,27.0,36.861289978027344,,,,,,,,,,,,,,,
225280,,,,,,,,,,,,,504,446,741.68752329,27.0,110
226304,27.0,45.229515075683594,57098.97941894531,-0.02105463550396962,-5.16378323584795,29489.76953125,0.0,0.010405245,0.073193359375,0.0003,0.2,1100,,,,,
227328,27.0,38.495460510253906,,,,,,,,,,,,,,,
228352,27.0,42.544857025146484,62614.4142578125,-0.02353847836930072,-5.158434407413006,30504.04296875,0.0,0.010668185,0.084423828125,0.0003,0.2,1110,,,,,
229376,27.0,37.081634521484375,,,,,,,,,,,,,,,
230400,27.0,39.73672103881836,63470.865197753905,-0.019981552705576177,-5.152830192446709,30800.916015625,1.1920928955078125e-07,0.009117288,0.05185546875,0.0003,0.2,1120,,,,,
231424,27.0,48.944984436035156,,,,,,,,,,,,,,,
232448,27.0,41.957489013671875,54431.1956665039,-0.020475848014757502,-5.114317229390144,23580.970703125,0.0,0.010111845,0.065771484375,0.0003,0.2,1130,,,,,
233472,27.0,44.53559112548828,,,,,,,,,,,,,,,
234496,27.0,46.55034637451172,62285.150146484375,-0.019043401069939136,-5.120504760742188,27831.658203125,0.0,0.010246926,0.068603515625,0.0003,0.2,1140,,,,,
235520,27.0,46.461360931396484,,,,,,,,,,,,,,,
236544,27.0,43.173736572265625,57904.50177001953,-0.021240808696893508,-5.12774538397789,24936.71875,0.0,0.009580886,0.071826171875,0.0003,0.2,1150,,,,,
237568,27.0,45.515052795410156,,,,,,,,,,,,,,,
238592,27.0,46.507659912109375,56183.61658935547,-0.021497556631220504,-5.081675399839878,26413.923828125,0.0,0.0097429715,0.077880859375,0.0003,0.2,1160,,,,,
239616,27.0,39.18062973022461,,,,,,,,,,,,,,,
240640,27.0,43.74320983886719,57423.03041992187,-0.020311521174153312,-5.0586818784475325,25164.12109375,0.0,0.010385187,0.062744140625,0.0003,0.2,1170,,,,,
241664,27.0,47.4145622253418,,,,,,,,,,,,,,,
242688,27.0,43.397315979003906,55932.401049804685,-0.01999266510247253,-5.0504513934254645,26436.494140625,0.0,0.010132717,0.073388671875,0.0003,0.2,1180,,,,,
