time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/explained_variance,train/value_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps
543744,180.0,54.65886688232422,0.0,65.76099382042885,2650,-0.015675000997725876,0.0003,0.165771484375,55.23774719238281,0.2,0.013847783,-3.8367390990257264,,,,,
544768,180.0,57.2476806640625,,,,,,,,,,,,,,,
545792,180.0,52.084617614746094,0.0,55.54586614370346,2660,-0.018453062656044496,0.0003,0.19560546875,23.533653259277344,0.2,0.016006107,-3.873097334802151,,,,,
546816,180.0,54.24895477294922,,,,,,,,,,,,,,,
547840,180.0,51.89469528198242,5.960464477539063e-08,63.00046961903572,2670,-0.021788439464580735,0.0003,0.238037109375,28.063982009887695,0.2,0.020426823,-3.931282413005829,,,,,
548864,180.0,49.72334671020508,,,,,,,,,,,,,,,
549888,180.0,53.0064697265625,5.960464477539063e-08,62.22423593997955,2680,-0.019232524573453702,0.0003,0.196044921875,37.235923767089844,0.2,0.01798356,-3.891888282448053,,,,,
550912,180.0,50.13477325439453,,,,,,,,,,,,,,,
551936,180.0,55.06410598754883,0.0,63.060009664297105,2690,-0.018433461434324273,0.0003,0.1986328125,46.278778076171875,0.2,0.014386533,-3.865282565355301,,,,,
552960,180.0,50.07628631591797,,,,,,,,,,,,,,,
552960,,,,,,,,,,,,,270,1647,52.609470619999996,180.0,335
553984,180.0,55.45412063598633,1.1920928955078125e-07,58.32681400179863,2700,-0.016721388953737915,0.0003,0.18330078125,34.29874801635742,0.2,0.01673264,-3.865640030801296,,,,,
555008,180.0,48.57145309448242,,,,,,,,,,,,,,,
556032,180.0,52.220115661621094,0.0,54.682077592611314,2710,-0.023680079041514545,0.0003,0.233203125,36.133934020996094,0.2,0.015833206,-3.8628289811313152,,,,,
557056,180.0,49.265350341796875,,,,,,,,,,,,,,,
558080,180.0,51.22047424316406,-1.1920928955078125e-07,61.139718079566954,2720,-0.021215934537758586,0.0003,0.211328125,28.465700149536133,0.2,0.016863385,-3.8742531426250935,,,,,
559104,180.0,54.64595031738281,,,,,,,,,,,,,,,
560128,180.0,56.03642272949219,0.0,66.00743948817254,2730,-0.021359590179054068,0.0003,0.235009765625,32.115718841552734,0.2,0.016875044,-3.8887435130774977,,,,,
561152,180.0,55.08675003051758,,,,,,,,,,,,,,,
562176,180.0,51.686397552490234,0.0,65.4240258872509,2740,-0.023889285887707955,0.0003,0.24794921875,29.614572525024414,0.2,0.020150872,-3.8811844639480113,,,,,
563200,180.0,49.05593490600586,,,,,,,,,,,,,,,
564224,180.0,52.43932342529297,2.384185791015625e-07,63.12348508834839,2750,-0.01995486447121948,0.0003,0.24375,24.833229064941406,0.2,0.01663477,-3.9100423574447634,,,,,
565248,180.0,50.41987609863281,,,,,,,,,,,,,,,
566272,180.0,51.28279113769531,0.0,49.96491667628288,2760,-0.022940899623790756,0.0003,0.2478515625,33.32831954956055,0.2,0.021077797,-3.975156866759062,,,,,
567296,180.0,50.759002685546875,,,,,,,,,,,,,,,
568320,180.0,48.740684509277344,0.0,65.41790534853935,2770,-0.018905166261538396,0.0003,0.2552734375,24.920734405517578,0.2,0.01693971,-3.9676002517342566,,,,,
569344,180.0,50.94157028198242,,,,,,,,,,,,,,,
