time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/approx_kl,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/explained_variance,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean
115000,50.0,9.70930290222168,560,0.0092334375,0.0003,0.2,-3.366696630418301,17226.208685302736,-0.012221592076821252,8455.3134765625,0.069189453125,-1.1920928955078125e-07,,,,,
115500,50.0,12.107261657714844,,,,,,,,,,,,,,,
116000,50.0,13.27247428894043,,,,,,,,,,,,,,,
116500,50.0,13.741111755371094,,,,,,,,,,,,,,,
117000,50.0,11.317480087280273,570,0.009585902,0.0003,0.2,-3.395814999192953,20040.223599243163,-0.013694400386884808,10056.380859375,0.078515625,0.0,,,,,
117500,50.0,14.352011680603027,,,,,,,,,,,,,,,
118000,50.0,12.286266326904297,,,,,,,,,,,,,,,
118500,50.0,17.022436141967773,,,,,,,,,,,,,,,
119000,50.0,10.328163146972656,580,0.012057245,0.0003,0.2,-3.4125211045145987,18817.885848999023,-0.011215321894269437,8628.00390625,0.064794921875,-1.1920928955078125e-07,,,,,
119500,50.0,8.128894805908203,,,,,,,,,,,,,,,
120000,50.0,11.344616889953613,,,,,,,,,,,,,,,
120500,50.0,12.78518009185791,,,,,,,,,,,,,,,
121000,50.0,11.50864028930664,590,0.015268315,0.0003,0.2,-3.318975991010666,23054.095223999022,-0.018600724758289288,11211.6650390625,0.126953125,0.0,,,,,
121500,50.0,13.723930358886719,,,,,,,,,,,,,,,
122000,50.0,14.186336517333984,,,,,,,,,,,,,,,
122500,50.0,13.340094566345215,,,,,,,,,,,,,,,
122880,,,,,,,,,,,,,60,735.6016660799999,962,127,50.0
123000,50.0,10.274954795837402,600,0.012723461,0.0003,0.2,-3.2950518243014812,24520.169055175782,-0.015129659688682295,11970.7685546875,0.103857421875,0.0,,,,,
123500,50.0,12.177277565002441,,,,,,,,,,,,,,,
124000,50.0,14.039009094238281,,,,,,,,,,,,,,,
124500,50.0,9.957340240478516,,,,,,,,,,,,,,,
125000,50.0,14.079486846923828,610,0.016516663,0.0003,0.2,-3.253450420498848,26067.75129394531,-0.017148242305847817,14628.8662109375,0.102783203125,0.0,,,,,
125500,50.0,16.331676483154297,,,,,,,,,,,,,,,
126000,50.0,16.851085662841797,,,,,,,,,,,,,,,
126500,50.0,12.533842086791992,,,,,,,,,,,,,,,
127000,50.0,9.822798728942871,620,0.008396048,0.0003,0.2,-3.2505233019590376,24274.280004882814,-0.010529025451978669,11462.9111328125,0.0541015625,0.0,,,,,
127500,50.0,13.017195701599121,,,,,,,,,,,,,,,
128000,50.0,16.059215545654297,,,,,,,,,,,,,,,
128500,50.0,18.281578063964844,,,,,,,,,,,,,,,
129000,50.0,11.923164367675781,,,,,,,,,,,,,,,
129500,50.0,20.221988677978516,630,0.014934005,0.0003,0.2,-3.2864790432155133,25663.748388671876,-0.014791477043763735,10861.220703125,0.104736328125,-1.1920928955078125e-07,,,,,
130000,50.0,14.225543022155762,,,,,,,,,,,,,,,
130500,50.0,10.900169372558594,,,,,,,,,,,,,,,
131000,50.0,16.62311553955078,,,,,,,,,,,,,,,
131500,50.0,23.36296844482422,640,0.01409043,0.0003,0.2,-3.1457629218697547,26929.678729248048,-0.01649857299635187,12174.1533203125,0.117919921875,0.0,,,,,
132000,50.0,17.788021087646484,,,,,,,,,,,,,,,
132500,50.0,13.817924499511719,,,,,,,,,,,,,,,
133000,50.0,15.742324829101562,,,,,,,,,,,,,,,
133500,50.0,18.99300765991211,650,0.0073649148,0.0003,0.2,-3.089113526046276,28285.942681884764,-0.010519091002061031,13953.9931640625,0.058837890625,0.0,,,,,
134000,50.0,16.548503875732422,,,,,,,,,,,,,,,
134500,50.0,18.511571884155273,,,,,,,,,,,,,,,
135000,50.0,16.661022186279297,,,,,,,,,,,,,,,
135500,50.0,12.18211555480957,660,0.012518186,0.0003,0.2,-3.1414586186408995,26036.229254150392,-0.011277618946041911,13538.5849609375,0.07412109375,-1.1920928955078125e-07,,,,,
136000,50.0,23.629552841186523,,,,,,,,,,,,,,,
136500,50.0,11.888137817382812,,,,,,,,,,,,,,,
137000,50.0,13.902507781982422,,,,,,,,,,,,,,,
137500,50.0,15.457382202148438,670,0.011574496,0.0003,0.2,-3.1006853371858596,31373.844787597656,-0.012404222856275737,14791.4736328125,0.069970703125,0.0,,,,,
138000,50.0,19.024093627929688,,,,,,,,,,,,,,,
138500,50.0,13.846997261047363,,,,,,,,,,,,,,,
139000,50.0,18.29045295715332,,,,,,,,,,,,,,,
139500,50.0,18.134639739990234,680,0.0134366695,0.0003,0.2,-3.0842177361249923,32130.513934326173,-0.012094866507686675,14687.357421875,0.0701171875,0.0,,,,,
140000,50.0,18.684295654296875,,,,,,,,,,,,,,,
140500,50.0,16.080751419067383,,,,,,,,,,,,,,,
141000,50.0,14.4786376953125,,,,,,,,,,,,,,,
141500,50.0,17.797435760498047,690,0.008441959,0.0003,0.2,-3.0627770483493806,29877.474310302736,-0.009527840348164318,12722.845703125,0.060693359375,0.0,,,,,
142000,50.0,15.392671585083008,,,,,,,,,,,,,,,
142500,50.0,12.888887405395508,,,,,,,,,,,,,,,
143000,50.0,14.016093254089355,,,,,,,,,,,,,,,
143360,,,,,,,,,,,,,70,890.17073634,962,149,50.0
143500,50.0,15.570608139038086,700,0.008762749,0.0003,0.2,-3.07076398357749,37263.9817199707,-0.010475150847923942,18797.26171875,0.061865234375,0.0,,,,,
144000,50.0,13.599413871765137,,,,,,,,,,,,,,,
144500,50.0,20.748363494873047,,,,,,,,,,,,,,,
145000,50.0,17.03231430053711,,,,,,,,,,,,,,,
145500,50.0,14.270881652832031,710,0.008500412,0.0003,0.2,-3.0035318545997143,36098.22353515625,-0.011382074955326971,17219.130859375,0.074853515625,0.0,,,,,
146000,50.0,17.2258243560791,,,,,,,,,,,,,,,
146500,50.0,19.5554256439209,,,,,,,,,,,,,,,
147000,50.0,13.762351989746094,,,,,,,,,,,,,,,
