time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps
286720,20.76929473876953,12.0,,,,,,,,,,,,,,,
286720,,,,,,,,,,,,,148.71150414000002,12.0,140,597,479
287744,16.279428482055664,12.0,1400,0.0003,-2.3291005849838258,0.017162748859846033,0.358740234375,0.0,1623.1098545074462,0.2,717.3666381835938,0.059013937,,,,,
288768,18.839563369750977,12.0,,,,,,,,,,,,,,,
289792,19.11482048034668,12.0,1410,0.0003,-2.319158326089382,0.0039012545355944896,0.351171875,0.0,1291.9333881378175,0.2,688.5548706054688,0.046269786,,,,,
290816,21.96320915222168,12.0,,,,,,,,,,,,,,,
291840,24.149200439453125,12.0,1420,0.0003,-2.332606678456068,0.005596449671429582,0.42685546875,0.0,1306.560515975952,0.2,637.514892578125,0.05887439,,,,,
292864,17.413789749145508,12.0,,,,,,,,,,,,,,,
293888,17.591293334960938,12.0,1430,0.0003,-2.334489577263594,0.019033397032762876,0.37890625,0.0,1488.5729705810547,0.2,656.4295043945312,0.06453386,,,,,
294912,22.541934967041016,12.0,,,,,,,,,,,,,,,
295936,22.183338165283203,12.0,1440,0.0003,-2.3356711238622667,0.023257642166572622,0.38505859375,0.0,863.196282672882,0.2,401.8877258300781,0.06692986,,,,,
296960,12.268786430358887,12.0,,,,,,,,,,,,,,,
297984,13.631978988647461,12.0,1450,0.0003,-2.3337645560503004,0.009806642691546585,0.37392578125,1.1920928955078125e-07,1945.9879413604735,0.2,668.0471801757812,0.07588289,,,,,
299008,19.592761993408203,12.0,,,,,,,,,,,,,,,
300032,23.479902267456055,12.0,1460,0.0003,-2.336170367896557,0.01038513949024491,0.42607421875,0.0,2252.587626647949,0.2,921.8997802734375,0.085894614,,,,,
301056,13.923723220825195,12.0,,,,,,,,,,,,,,,
302080,20.21590232849121,12.0,1470,0.0003,-2.3362655133008956,0.019113214906246866,0.414794921875,5.960464477539063e-08,1518.4572776794435,0.2,578.3443603515625,0.07818328,,,,,
303104,23.205341339111328,12.0,,,,,,,,,,,,,,,
304128,23.997570037841797,12.0,1480,0.0003,-2.3320330545306205,0.0260983987885993,0.328173828125,0.0,1390.7758987426757,0.2,615.9041137695312,0.063680366,,,,,
305152,20.968994140625,12.0,,,,,,,,,,,,,,,
