eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/loss,train/n_updates,train/entropy_loss,train/clip_range,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations
40.0,46.70050811767578,117760,0.0,0.0003,144872.84047851563,0.071625814,0.391259765625,-0.03348085620091297,68696.4765625,570,-6.3648576274514195,0.2,,,,,
40.0,50.88117218017578,118784,,,,,,,,,,,,,,,
40.0,47.902225494384766,119808,0.0,0.0003,137848.80573730468,0.07565233,0.43173828125,-0.0227466607306269,67239.2734375,580,-6.363899385929107,0.2,,,,,
40.0,49.00419616699219,120832,,,,,,,,,,,,,,,
40.0,50.934104919433594,121856,0.0,0.0003,170908.05356445312,0.0757612,0.4271484375,-0.028200402919901536,83805.3828125,590,-6.362388150393963,0.2,,,,,
40.0,49.631134033203125,122880,,,,,,,,,,,,,,,
,,122880,,,,,,,,,,,220,1332.90464546,40.0,558,60
40.0,41.068572998046875,123904,1.1920928955078125e-07,0.0003,141201.0052734375,0.07000628,0.39560546875,-0.029271695850184187,72006.5,600,-6.361147499084472,0.2,,,,,
40.0,49.4427490234375,124928,,,,,,,,,,,,,,,
40.0,49.09272003173828,125952,0.0,0.0003,136958.20568847656,0.072439425,0.416455078125,-0.021797811215219554,72533.7109375,610,-6.360446518659591,0.2,,,,,
40.0,50.00914001464844,126976,,,,,,,,,,,,,,,
40.0,55.99098205566406,128000,-1.1920928955078125e-07,0.0003,141094.9486328125,0.07297282,0.432470703125,-0.02886004565807525,66758.0234375,620,-6.359546352922917,0.2,,,,,
40.0,48.14738082885742,129024,,,,,,,,,,,,,,,
40.0,55.51072692871094,130048,0.0,0.0003,124848.71564941407,0.07003687,0.406884765625,-0.035618278503534384,63698.95703125,630,-6.358276984095573,0.2,,,,,
40.0,55.70402145385742,131072,,,,,,,,,,,,,,,
40.0,48.839637756347656,132096,2.384185791015625e-07,0.0003,150615.58498535157,0.07070272,0.402880859375,-0.0342456554149976,83476.8828125,640,-6.357406145334243,0.2,,,,,
40.0,44.004512786865234,133120,,,,,,,,,,,,,,,
40.0,45.59130096435547,134144,0.0,0.0003,154490.83010253907,0.07512896,0.427294921875,-0.027281351952115073,72330.9765625,650,-6.3561279878020285,0.2,,,,,
40.0,50.26936340332031,135168,,,,,,,,,,,,,,,
40.0,47.12905502319336,136192,0.0,0.0003,164121.03229980468,0.0751995,0.431103515625,-0.019734679014072755,79299.4453125,660,-6.354645344614982,0.2,,,,,
40.0,50.714080810546875,137216,,,,,,,,,,,,,,,
40.0,48.77611541748047,138240,5.960464477539063e-08,0.0003,131623.233984375,0.076145105,0.4158203125,-0.02453506606107112,69372.1953125,670,-6.353556029498577,0.2,,,,,
40.0,47.42744827270508,139264,,,,,,,,,,,,,,,
40.0,46.3224983215332,140288,0.0,0.0003,121465.61708984376,0.08128627,0.439892578125,-0.023481769487261772,59237.921875,680,-6.35210478156805,0.2,,,,,
40.0,49.946807861328125,141312,,,,,,,,,,,,,,,
