eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/learning_rate,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed
180.0,201728,76.164794921875,0.1765625,-3.348544719815254,0.01506825,31.89597511291504,0.0003,980,45.04397879242897,-0.013935988368757535,0.2,0.0,,,,,
180.0,202752,69.15461730957031,,,,,,,,,,,,,,,
180.0,203776,72.44481658935547,0.18740234375,-3.3499445006251336,0.015858587,28.835521697998047,0.0003,990,48.5893673658371,-0.013590572561952285,0.2,0.0,,,,,
180.0,204800,74.83174133300781,,,,,,,,,,,,,,,
,204800,,,,,,,,,,,,71.83466978,180.0,296,100,690
180.0,205824,75.95843505859375,0.1783203125,-3.3580343186855317,0.016270127,27.026811599731445,0.0003,1000,55.35564628839493,-0.0144241245201556,0.2,0.0,,,,,
180.0,206848,74.69044494628906,,,,,,,,,,,,,,,
180.0,207872,73.33256530761719,0.203564453125,-3.3693626634776592,0.015201903,24.587247848510742,0.0003,1010,51.65990394949913,-0.015008390446018894,0.2,0.0,,,,,
180.0,208896,72.83570861816406,,,,,,,,,,,,,,,
180.0,209920,75.47309112548828,0.156591796875,-3.3903960794210435,0.017132385,24.393339157104492,0.0003,1020,52.02684199810028,-0.012423931111698039,0.2,0.0,,,,,
180.0,210944,73.98825073242188,,,,,,,,,,,,,,,
180.0,211968,75.20010375976562,0.219384765625,-3.4219831600785255,0.016604815,26.52972412109375,0.0003,1030,53.3122838139534,-0.01763872877709218,0.2,0.0,,,,,
180.0,212992,75.371826171875,,,,,,,,,,,,,,,
180.0,214016,75.12649536132812,0.171728515625,-3.4445518918335436,0.016741648,25.8554744720459,0.0003,1040,53.95008002519607,-0.013299843700951896,0.2,0.0,,,,,
180.0,215040,72.88977813720703,,,,,,,,,,,,,,,
180.0,216064,73.07028198242188,0.173291015625,-3.450586386024952,0.013433186,24.759544372558594,0.0003,1050,60.409844970703126,-0.01198382280417718,0.2,0.0,,,,,
