time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/value_loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/n_updates,train/clip_range,train/clip_fraction,train/approx_kl,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean
201728,72.41665649414062,180.0,46.59545647501945,0.0003,-3.434505258500576,-0.015407491495716385,-1.1920928955078125e-07,19.48650550842285,980,0.2,0.2119140625,0.017195456,,,,,
202752,66.19232177734375,180.0,,,,,,,,,,,,,,,
203776,70.75093078613281,180.0,51.19235830903053,0.0003,-3.4717762008309365,-0.015326690061192494,0.0,19.42737579345703,990,0.2,0.2115234375,0.015913583,,,,,
204800,75.93667602539062,180.0,,,,,,,,,,,,,,,
204800,,,,,,,,,,,,,315,100,648,180.0,70.55734269999999
205824,73.81455993652344,180.0,56.28105478286743,0.0003,-3.476279177516699,-0.01669149697991088,0.0,50.75555419921875,1000,0.2,0.199560546875,0.016924053,,,,,
206848,73.41116333007812,180.0,,,,,,,,,,,,,,,
207872,77.76639556884766,180.0,62.1602863907814,0.0003,-3.4956470154225827,-0.016379669101297623,5.960464477539063e-08,33.93840408325195,1010,0.2,0.215673828125,0.017394371,,,,,
208896,73.28170776367188,180.0,,,,,,,,,,,,,,,
209920,73.36785888671875,180.0,60.78880233168602,0.0003,-3.4618022084236144,-0.01054907301440835,5.960464477539063e-08,24.931119918823242,1020,0.2,0.151513671875,0.013818391,,,,,
210944,77.78550720214844,180.0,,,,,,,,,,,,,,,
211968,77.01664733886719,180.0,55.98845441937446,0.0003,-3.4716084890067576,-0.009980901489325334,0.0,39.80739212036133,1030,0.2,0.17939453125,0.014924746,,,,,
212992,71.1626968383789,180.0,,,,,,,,,,,,,,,
214016,79.33853149414062,180.0,53.49265614151955,0.0003,-3.44890261515975,-0.014334206934290706,0.0,29.421539306640625,1040,0.2,0.197705078125,0.0174331,,,,,
215040,76.18992614746094,180.0,,,,,,,,,,,,,,,
216064,70.70348358154297,180.0,49.86610358953476,0.0003,-3.447922919690609,-0.013888612869777717,-1.1920928955078125e-07,20.980260848999023,1050,0.2,0.19765625,0.015247404,,,,,
217088,75.17620849609375,180.0,,,,,,,,,,,,,,,
