time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/explained_variance,train/approx_kl,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations
393216,39.27694320678711,80.0,,,,,,,,,,,,,,,
395264,39.141319274902344,80.0,3e-05,-0.010249059366833535,32.736985347419974,0.1452880859375,18.39267349243164,0.1,0.0,0.0033906063,960,-5.1374905161559585,,,,,
397312,38.5999755859375,80.0,,,,,,,,,,,,,,,
399360,36.77525329589844,80.0,3e-05,-0.010642759836810001,32.813771025836466,0.1445068359375,18.215253829956055,0.1,0.0,0.0033970904,970,-5.112325146794319,,,,,
401408,38.68421173095703,80.0,,,,,,,,,,,,,,,
403456,40.63096618652344,80.0,3e-05,-0.011527388910872105,33.73750161528587,0.159765625,30.03390884399414,0.1,-1.1920928955078125e-07,0.0033071728,980,-5.0894119966775175,,,,,
405504,39.21698760986328,80.0,,,,,,,,,,,,,,,
407552,41.21903991699219,80.0,3e-05,-0.010925452462834074,33.738613065332174,0.1540771484375,27.027326583862305,0.1,-1.1920928955078125e-07,0.0031836722,990,-5.059254563972354,,,,,
409600,38.1151123046875,80.0,,,,,,,,,,,,,,,
409600,,,,,,,,,,,,,39.59914663000001,80.0,56,7269,100
411648,39.865081787109375,80.0,3e-05,-0.009576910970645258,35.94242171049118,0.1258544921875,22.73668098449707,0.1,0.0,0.0032719066,1000,-5.040181919932365,,,,,
413696,43.88066482543945,80.0,,,,,,,,,,,,,,,
415744,38.959293365478516,80.0,3e-05,-0.011659370206325547,34.254262102395295,0.1508544921875,24.843856811523438,0.1,0.0,0.0037148125,1010,-5.009949754178524,,,,,
417792,44.15736389160156,80.0,,,,,,,,,,,,,,,
419840,41.86903381347656,80.0,3e-05,-0.01033404055469873,33.44126860052347,0.145849609375,20.051603317260742,0.1,0.0,0.0033790092,1020,-4.98974130153656,,,,,
421888,40.55927276611328,80.0,,,,,,,,,,,,,,,
423936,44.98394012451172,80.0,3e-05,-0.01106765047461522,35.30625610053539,0.139208984375,29.18047523498535,0.1,-1.1920928955078125e-07,0.0033363218,1030,-4.962832842022181,,,,,
425984,42.77902603149414,80.0,,,,,,,,,,,,,,,
428032,45.07221221923828,80.0,3e-05,-0.011042234623892,33.58507062345743,0.142138671875,20.519004821777344,0.1,-1.1920928955078125e-07,0.003299303,1040,-4.960246875882149,,,,,
430080,42.34855651855469,80.0,,,,,,,,,,,,,,,
432128,44.21647262573242,80.0,3e-05,-0.010740846196677012,33.39204159304499,0.14072265625,24.152868270874023,0.1,0.0,0.0035121448,1050,-4.944953294098378,,,,,
434176,42.94291687011719,80.0,,,,,,,,,,,,,,,
436224,43.12987518310547,80.0,3e-05,-0.011398738755087835,36.566716253012416,0.1509521484375,15.193390846252441,0.1,-1.1920928955078125e-07,0.0035410197,1060,-4.923507337272167,,,,,
438272,41.25397872924805,80.0,,,,,,,,,,,,,,,
440320,44.27485275268555,80.0,3e-05,-0.009716154721536441,35.03767921552062,0.1345458984375,25.011476516723633,0.1,1.1920928955078125e-07,0.0032943003,1070,-4.908110169693828,,,,,
442368,42.04413604736328,80.0,,,,,,,,,,,,,,,
444416,40.762393951416016,80.0,3e-05,-0.01028357569812215,34.28339456245303,0.1427490234375,36.093841552734375,0.1,1.1920928955078125e-07,0.0035526338,1080,-4.8915642943233255,,,,,
446464,45.230072021484375,80.0,,,,,,,,,,,,,,,
448512,43.7918701171875,80.0,3e-05,-0.010239583608563408,32.08645917326212,0.1350341796875,23.285011291503906,0.1,1.1920928955078125e-07,0.0031287037,1090,-4.880512559041381,,,,,
450560,49.414390563964844,80.0,,,,,,,,,,,,,,,
450560,,,,,,,,,,,,,43.23633531999999,80.0,60,7403,110
452608,48.04093933105469,80.0,3e-05,-0.010394412135792664,33.70973462238908,0.1448486328125,23.491064071655273,0.1,0.0,0.0036411234,1100,-4.8434819877147675,,,,,
454656,46.94947814941406,80.0,,,,,,,,,,,,,,,
456704,44.01151657104492,80.0,3e-05,-0.009885040615154139,33.918277624994516,0.12919921875,19.120691299438477,0.1,0.0,0.00368379,1110,-4.8288877487182615,,,,,
458752,48.534828186035156,80.0,,,,,,,,,,,,,,,
460800,46.86163330078125,80.0,3e-05,-0.01120685946989397,35.895360147953035,0.146337890625,18.09354019165039,0.1,0.0,0.0037293192,1120,-4.816244988143444,,,,,
462848,48.89240264892578,80.0,,,,,,,,,,,,,,,
464896,45.82951354980469,80.0,3e-05,-0.008494475812949532,33.32207350730896,0.1140869140625,26.122713088989258,0.1,0.0,0.0032567843,1130,-4.802241596952081,,,,,
466944,41.100440979003906,80.0,,,,,,,,,,,,,,,
