time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/clip_range,train/explained_variance,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/n_updates,train/learning_rate,train/std,train/entropy_loss,train/loss
361216,,,1982,62,4507.85394231,1200.0,64,,,,,,,,,,,
361440,13319.681839,1200.0,,,,,,0.2,0.0,0.03499751,0.355322265625,-0.033476135481032544,2.0956464275717734,1760,0.0003,0.9766035079956055,-277.8376427650452,0.760879397392273
362640,13285.338667,1200.0,,,,,,,,,,,,,,,,
363264,,,2015,63,4510.4332307800005,1200.0,64,,,,,,,,,,,
363840,13313.650956,1200.0,,,,,,0.2,-1.1920928955078125e-07,0.03195078,0.358642578125,-0.03552049791906029,1.845808819308877,1770,0.0003,0.9760358333587646,-277.73333711624144,1.0066100358963013
365040,13331.595866,1200.0,,,,,,,,,,,,,,,,
365312,,,2049,64,4513.557763780001,1200.0,63,,,,,,,,,,,
366240,13307.729789,1200.0,,,,,,0.2,-1.1920928955078125e-07,0.03318297,0.339892578125,-0.03460891935683321,2.160615670308471,1780,0.0003,0.9762147068977356,-277.70517978668215,0.8968818783760071
367360,,,2075,65,4515.02447515,1200.0,64,,,,,,,,,,,
367440,15409.99287,1200.0,,,,,,0.2,0.0,0.035204537,0.353759765625,-0.03489674602606101,1.765562365204096,1790,0.0003,0.97577965259552,-277.65419445037844,0.8040294647216797
368640,15396.054385,1200.0,,,,,,,,,,,,,,,,
369408,,,2109,66,4518.14001016,1200.0,64,,,,,,,,,,,
369840,16331.819401,1200.0,,,,,,0.2,0.0,0.03616747,0.3580078125,-0.035581206195638516,2.4478573594242334,1800,0.0003,0.9747976660728455,-277.4990853309631,1.5103305578231812
371040,16420.491272,1200.0,,,,,,,,,,,,,,,,
371456,,,2142,67,4521.04507579,1200.0,64,,,,,,,,,,,
372240,16016.380083,1200.0,,,,,,0.2,-1.1920928955078125e-07,0.0399914,0.379931640625,-0.03373419719864614,2.2132036432623865,1810,0.0003,0.9737276434898376,-277.310289478302,0.9581844806671143
373440,16113.759467,1200.0,,,,,,,,,,,,,,,,
373504,,,2176,68,4524.14470899,1200.0,63,,,,,,,,,,,
374640,12844.622604,1200.0,,,,,,0.2,0.0,0.034704994,0.33984375,-0.03501887094753329,1.9875941440463065,1820,0.0003,0.9724408984184265,-277.02962293624876,0.794654369354248
375552,,,2201,69,4525.549755829999,1200.0,64,,,,,,,,,,,
375840,12935.079399,1200.0,,,,,,0.2,0.0,0.033805344,0.3521484375,-0.03591314560326282,2.8423602130264043,1830,0.0003,0.972396194934845,-276.91112937927244,1.3134634494781494
377040,13062.966356,1200.0,,,,,,,,,,,,,,,,
377600,,,2234,70,4529.19534633,1200.0,64,,,,,,,,,,,
378240,14671.110987,1200.0,,,,,,0.2,0.0,0.03352751,0.3646484375,-0.03645745636895299,2.642836060002446,1840,0.0003,0.9725837707519531,-276.91551065444946,1.338038444519043
379440,14659.693572,1200.0,,,,,,,,,,,,,,,,
379648,,,2268,71,4532.35238782,1200.0,64,,,,,,,,,,,
380640,12903.517385,1200.0,,,,,,0.2,0.0,0.032101728,0.344384765625,-0.03305694673326798,2.2183718003332613,1850,0.0003,0.9712874889373779,-276.7792767524719,1.0620591640472412
381696,,,2293,72,4534.096020599999,1200.0,64,,,,,,,,,,,
381840,12885.167373,1200.0,,,,,,0.2,0.0,0.035403766,0.35361328125,-0.03527429743553512,2.6906611543148755,1860,0.0003,0.9717028737068176,-276.70412702560424,1.17135751247406
383040,12874.721828,1200.0,,,,,,,,,,,,,,,,
383744,,,2326,73,4537.69497348,1200.0,64,,,,,,,,,,,
384240,10093.490147,1200.0,,,,,,0.2,0.0,0.037840284,0.38544921875,-0.03848229119903408,2.1384683858603237,1870,0.0003,0.9710789322853088,-276.67150382995607,1.0963709354400635
385440,10079.22849,1200.0,,,,,,,,,,,,,,,,
385792,,,2359,74,4541.67927815,1200.0,64,,,,,,,,,,,
386640,10005.39689,1200.0,,,,,,0.2,0.0,0.035083972,0.376708984375,-0.03467750522249844,2.582128693163395,1880,0.0003,0.9715955853462219,-276.6443684577942,1.1478487253189087
387840,10013.140518,1200.0,,,,,,,,,,,,,,,,
387840,,,2392,75,4545.49085696,1200.0,64,,,,,,,,,,,
389040,11043.514337,1200.0,,,,,,0.2,1.1920928955078125e-07,0.040806748,0.377294921875,-0.03961020730203017,2.430083277449012,1890,0.0003,0.9713917970657349,-276.6518292427063,1.308717966079712
389888,,,2418,76,4547.235980529999,1200.0,64,,,,,,,,,,,
390240,14193.963905,1200.0,,,,,,0.2,-2.384185791015625e-07,0.032208044,0.364013671875,-0.03726435490534641,2.1836094815284013,1900,0.0003,0.9708432555198669,-276.579336643219,0.978968620300293
391440,14128.750424,1200.0,,,,,,,,,,,,,,,,
391936,,,2451,77,4551.262864879999,1200.0,64,,,,,,,,,,,
