eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_range,train/explained_variance,train/entropy_loss,train/learning_rate,train/approx_kl,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/loss,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed
180.0,197632,77.79203033447266,0.2,-1.1920928955078125e-07,-3.5152783181518314,0.0002,0.014805344,20.657869235426187,960,-0.012709752829687204,0.170166015625,11.950555801391602,,,,,
180.0,198656,81.95375061035156,,,,,,,,,,,,,,,
180.0,199680,82.35482025146484,0.2,0.0,-3.52699549049139,0.0002,0.01509948,19.089942613989116,970,-0.013796867648488842,0.174658203125,15.057124137878418,,,,,
180.0,200704,80.67142486572266,,,,,,,,,,,,,,,
180.0,201728,75.95857238769531,0.2,0.0,-3.540363519266248,0.0002,0.013173833,20.362718980014325,980,-0.012073913114363677,0.148876953125,9.931672096252441,,,,,
180.0,202752,78.84830474853516,,,,,,,,,,,,,,,
180.0,203776,78.37171173095703,0.2,0.0,-3.5538920290768146,0.0002,0.014572844,21.16356356218457,990,-0.012557597590057413,0.18603515625,26.371469497680664,,,,,
180.0,204800,79.25686645507812,,,,,,,,,,,,,,,
,204800,,,,,,,,,,,,100,180.0,258,77.99972632999999,791
180.0,205824,79.77664184570312,0.2,0.0,-3.556671931967139,0.0002,0.0133928675,21.486265936493872,1000,-0.011274307309213328,0.146923828125,10.300494194030762,,,,,
180.0,206848,77.93061828613281,,,,,,,,,,,,,,,
180.0,207872,82.31769561767578,0.2,0.0,-3.5508054979145527,0.0002,0.0127008855,20.883057302981616,1010,-0.012271730173233663,0.157275390625,14.513039588928223,,,,,
180.0,208896,78.71585083007812,,,,,,,,,,,,,,,
180.0,209920,78.2110366821289,0.2,0.0,-3.5516871862113475,0.0002,0.013008114,22.4578949265182,1020,-0.012210002748179249,0.1837890625,16.36016082763672,,,,,
180.0,210944,81.652587890625,,,,,,,,,,,,,,,
