eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_fraction,train/n_updates,train/approx_kl,train/clip_range,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations
180.0,306176,87.97917938232422,0.516259765625,1490,0.026080534,0.2,0.0003,56.21279910802841,-3.105170490592718,-0.04010127473738976,-1.1920928955078125e-07,18.167831420898438,,,,,
180.0,307200,86.9576416015625,,,,,,,,,,,,,,,
,307200,,,,,,,,,,,,1179,87.39781196000001,260,180.0,150
180.0,308224,87.48858642578125,0.4365234375,1500,0.01980555,0.2,0.0003,57.785575211048126,-3.106769011169672,-0.03787577672337648,-1.1920928955078125e-07,22.870634078979492,,,,,
180.0,309248,84.957763671875,,,,,,,,,,,,,,,
180.0,310272,87.32820892333984,0.591357421875,1510,0.031510532,0.2,0.0003,51.86138392686844,-3.0655508182942866,-0.04291072336200159,5.960464477539063e-08,28.415674209594727,,,,,
180.0,311296,85.25102233886719,,,,,,,,,,,,,,,
180.0,312320,86.46658325195312,0.4908203125,1520,0.021205839,0.2,0.0003,50.35964933037758,-3.1000375017523765,-0.04131545501295477,0.0,13.301973342895508,,,,,
180.0,313344,86.29638671875,,,,,,,,,,,,,,,
180.0,314368,88.78195190429688,0.317724609375,1530,0.016732814,0.2,0.0003,51.11458796262741,-3.1541671618819236,-0.037676242619636466,5.960464477539063e-08,40.51009750366211,,,,,
180.0,315392,88.77950286865234,,,,,,,,,,,,,,,
180.0,316416,86.11140441894531,0.528369140625,1540,0.023839816,0.2,0.0003,56.63460791707039,-3.104264384508133,-0.04489862275513588,5.960464477539063e-08,23.274145126342773,,,,,
180.0,317440,86.63323974609375,,,,,,,,,,,,,,,
180.0,318464,87.59841918945312,0.426416015625,1550,0.021181311,0.2,0.0003,50.15840970277786,-3.1213167019188406,-0.03878004362632055,0.0,20.32599449157715,,,,,
180.0,319488,85.76654052734375,,,,,,,,,,,,,,,
180.0,320512,86.84095764160156,0.50068359375,1560,0.021376314,0.2,0.0003,56.78250131607056,-3.11180831566453,-0.03940075892023742,0.0,30.652816772460938,,,,,
180.0,321536,87.05870056152344,,,,,,,,,,,,,,,
180.0,322560,88.16172790527344,0.39306640625,1570,0.018941153,0.2,0.0003,61.32670505046845,-3.1406174413859844,-0.03678944901912473,0.0,24.906530380249023,,,,,
180.0,323584,87.15202331542969,,,,,,,,,,,,,,,
180.0,324608,83.42231750488281,0.555712890625,1580,0.025227927,0.2,0.0003,55.78676551580429,-3.099400196224451,-0.036115494306432086,0.0,16.131914138793945,,,,,
180.0,325632,87.56781005859375,,,,,,,,,,,,,,,
180.0,326656,85.47331237792969,0.58974609375,1590,0.022984318,0.2,0.0003,62.98466395139694,-3.0942811600863935,-0.04208545600995421,0.0,44.57461166381836,,,,,
180.0,327680,85.54708862304688,,,,,,,,,,,,,,,
,327680,,,,,,,,,,,,1263,87.7045852,259,180.0,160
180.0,328704,88.66996002197266,0.443017578125,1600,0.02145478,0.2,0.0003,52.40650664567947,-3.119327534735203,-0.03637647508294321,0.0,30.075342178344727,,,,,
180.0,329728,86.9982681274414,,,,,,,,,,,,,,,
180.0,330752,88.4937744140625,0.44765625,1610,0.019366441,0.2,0.0003,54.89717302322388,-3.12096696048975,-0.037338746116438414,5.960464477539063e-08,14.600341796875,,,,,
180.0,331776,85.3893814086914,,,,,,,,,,,,,,,
180.0,332800,87.13429260253906,0.48798828125,1620,0.020031374,0.2,0.0003,55.97185628414154,-3.1196962147951126,-0.039508692748495375,-1.1920928955078125e-07,28.954845428466797,,,,,
180.0,333824,87.7948226928711,,,,,,,,,,,,,,,
180.0,334848,87.32726287841797,0.4716796875,1630,0.024178315,0.2,0.0003,56.213128936290744,-3.114762860536575,-0.03818629765009973,0.0,38.7673454284668,,,,,
180.0,335872,87.40157318115234,,,,,,,,,,,,,,,
180.0,336896,86.05906677246094,0.4212890625,1640,0.021566063,0.2,0.0003,52.513560473918915,-3.1308077462017536,-0.038784634324838405,0.0,26.07020378112793,,,,,
180.0,337920,86.95823669433594,,,,,,,,,,,,,,,
180.0,338944,87.38313293457031,0.39521484375,1650,0.017878804,0.2,0.0003,59.00060983896255,-3.1447703830897806,-0.040848088916391134,5.960464477539063e-08,22.900541305541992,,,,,
180.0,339968,88.08940124511719,,,,,,,,,,,,,,,
180.0,340992,87.82363891601562,0.453759765625,1660,0.022292498,0.2,0.0003,56.17355774044991,-3.138275060802698,-0.03680126244726125,0.0,35.054100036621094,,,,,
180.0,342016,87.1556167602539,,,,,,,,,,,,,,,
