time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean
188416,78.6113052368164,180.0,,,,,,,,,,,,,,,
189440,82.67096710205078,180.0,0.179931640625,-3.50861663967371,-0.013800367026124149,10.931264877319336,0.0,21.404684527218343,0.015497055,0.2,0.0003,920,,,,,
190464,82.06803894042969,180.0,,,,,,,,,,,,,,,
191488,83.65914916992188,180.0,0.166064453125,-3.5176189549267294,-0.012513178717927075,12.96579647064209,1.1920928955078125e-07,21.016755697131156,0.015926268,0.2,0.0003,930,,,,,
192512,82.57122802734375,180.0,,,,,,,,,,,,,,,
193536,82.14580535888672,180.0,0.1517578125,-3.485733535885811,-0.010109445336274803,10.453495025634766,0.0,19.02279811054468,0.014421846,0.2,0.0003,940,,,,,
194560,83.66461944580078,180.0,,,,,,,,,,,,,,,
195584,83.15230560302734,180.0,0.172509765625,-3.4824232324957847,-0.012504084660031367,7.393356800079346,0.0,19.349299144744872,0.014462646,0.2,0.0003,950,,,,,
196608,80.41150665283203,180.0,,,,,,,,,,,,,,,
197632,82.90992736816406,180.0,0.133837890625,-3.4843159265816213,-0.010832083303830587,12.099560737609863,0.0,20.07565928697586,0.014581868,0.2,0.0003,960,,,,,
198656,87.3980712890625,180.0,,,,,,,,,,,,,,,
199680,81.19300842285156,180.0,0.189697265625,-3.4980248160660268,-0.01417604841699358,11.8919038772583,0.0,21.076383835077287,0.015402768,0.2,0.0003,970,,,,,
200704,82.89056396484375,180.0,,,,,,,,,,,,,,,
201728,88.16473388671875,180.0,0.191015625,-3.4902927026152613,-0.012155915220500902,10.864134788513184,0.0,18.988686570525168,0.0150492955,0.2,0.0003,980,,,,,
202752,84.93598937988281,180.0,,,,,,,,,,,,,,,
203776,85.57227325439453,180.0,0.145849609375,-3.4841966584324835,-0.00950075809523696,5.0654683113098145,0.0,19.95274528861046,0.013625643,0.2,0.0003,990,,,,,
204800,86.54327392578125,180.0,,,,,,,,,,,,,,,
204800,,,,,,,,,,,,,314,100,180.0,651,83.74866393
205824,82.94023132324219,180.0,0.15791015625,-3.481147297471762,-0.010686675331089645,8.560639381408691,0.0,19.25120661854744,0.0118975695,0.2,0.0003,1000,,,,,
206848,85.72409057617188,180.0,,,,,,,,,,,,,,,
207872,87.48036193847656,180.0,0.199267578125,-3.4716714195907117,-0.015049730087048374,9.034201622009277,0.0,20.851216253638267,0.014731326,0.2,0.0003,1010,,,,,
208896,85.39826965332031,180.0,,,,,,,,,,,,,,,
209920,86.30937194824219,180.0,0.161669921875,-3.4848628282546996,-0.012308845402731094,10.137991905212402,0.0,19.663006538152693,0.014999723,0.2,0.0003,1020,,,,,
210944,85.7833251953125,180.0,,,,,,,,,,,,,,,
211968,88.18890380859375,180.0,0.1701171875,-3.4874969430267813,-0.011239677209232468,8.494354248046875,0.0,19.590916162729265,0.014704065,0.2,0.0003,1030,,,,,
212992,85.02130889892578,180.0,,,,,,,,,,,,,,,
214016,84.75830841064453,180.0,0.1455078125,-3.4626821391284466,-0.010295536530611571,13.009689331054688,0.0,18.655985668301582,0.015289852,0.2,0.0003,1040,,,,,
215040,83.2469711303711,180.0,,,,,,,,,,,,,,,
