time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/loss,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations
234496,15.431500434875488,180.0,-0.03222362009546487,0.295654296875,1140,0.0,0.024542078,0.2,-5.585652801394462,0.0003,18.664297103881836,41.54201161265373,,,,,
235520,15.823707580566406,180.0,,,,,,,,,,,,,,,
236544,14.461094856262207,180.0,-0.0355773757553834,0.31953125,1150,0.0,0.02268302,0.2,-5.585737928748131,0.0003,14.517303466796875,36.111711537837984,,,,,
237568,14.780954360961914,180.0,,,,,,,,,,,,,,,
238592,15.789311408996582,180.0,-0.039280987477104644,0.3810546875,1160,-1.1920928955078125e-07,0.023599477,0.2,-5.599492977559566,0.0003,21.105823516845703,37.41048630177975,,,,,
239616,13.631875991821289,180.0,,,,,,,,,,,,,,,
240640,16.17707633972168,180.0,-0.030570051091490313,0.2734375,1170,-1.1920928955078125e-07,0.020223252,0.2,-5.587672179937362,0.0003,20.61053466796875,42.561873614788055,,,,,
241664,14.421895980834961,180.0,,,,,,,,,,,,,,,
242688,14.31488037109375,180.0,-0.028820227176038316,0.289501953125,1180,0.0,0.021808727,0.2,-5.616403391957283,0.0003,21.542144775390625,38.73843404948711,,,,,
243712,14.130528450012207,180.0,,,,,,,,,,,,,,,
244736,14.387474060058594,180.0,-0.03403016760712489,0.310546875,1190,0.0,0.020367086,0.2,-5.583032152056694,0.0003,15.022509574890137,38.9296316921711,,,,,
245760,12.983745574951172,180.0,,,,,,,,,,,,,,,
245760,,,,,,,,,,,,,180.0,15.617085059999999,342,718,120
246784,14.729595184326172,180.0,-0.03288939202320762,0.294384765625,1200,0.0,0.020874787,0.2,-5.579420250654221,0.0003,32.577022552490234,44.735774213075636,,,,,
247808,15.298890113830566,180.0,,,,,,,,,,,,,,,
248832,17.907470703125,180.0,-0.03911747923848452,0.369970703125,1210,0.0,0.02390165,0.2,-5.570517817139626,0.0003,21.58805274963379,36.928371381759646,,,,,
249856,14.656106948852539,180.0,,,,,,,,,,,,,,,
250880,15.131542205810547,180.0,-0.033931879050214775,0.315234375,1220,0.0,0.020744845,0.2,-5.560025928914547,0.0003,15.090537071228027,47.80906121730804,,,,,
251904,16.551555633544922,180.0,,,,,,,,,,,,,,,
252928,15.497952461242676,180.0,-0.03392787839402445,0.32724609375,1230,-1.1920928955078125e-07,0.021442963,0.2,-5.557999758422374,0.0003,14.643119812011719,47.68015339374542,,,,,
253952,16.341716766357422,180.0,,,,,,,,,,,,,,,
254976,14.9139404296875,180.0,-0.030289982050453544,0.28017578125,1240,0.0,0.019373186,0.2,-5.540163436532021,0.0003,16.6273136138916,48.724281668663025,,,,,
256000,15.689441680908203,180.0,,,,,,,,,,,,,,,
257024,14.577152252197266,180.0,-0.03032310929047526,0.310498046875,1250,-1.1920928955078125e-07,0.02091956,0.2,-5.538390459120274,0.0003,22.108205795288086,47.784611305594446,,,,,
258048,17.025053024291992,180.0,,,,,,,,,,,,,,,
259072,15.282876968383789,180.0,-0.03600144346128218,0.31123046875,1260,0.0,0.020510297,0.2,-5.535389113426208,0.0003,16.811187744140625,42.79853518307209,,,,,
260096,14.324342727661133,180.0,,,,,,,,,,,,,,,
261120,15.329399108886719,180.0,-0.0313002501243318,0.302587890625,1270,0.0,0.022158977,0.2,-5.542092163860798,0.0003,27.041507720947266,42.57244148850441,,,,,
262144,14.504995346069336,180.0,,,,,,,,,,,,,,,
263168,16.97610855102539,180.0,-0.036398900467611385,0.321142578125,1280,0.0,0.023434222,0.2,-5.545936006307602,0.0003,15.641755104064941,36.36214098930359,,,,,
