eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_fraction,train/loss,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/n_updates,train/learning_rate,train/clip_range,train/value_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations
50.0,365904,30.590885162353516,,,,,,,,,,,,,,,
50.0,366404,30.855993270874023,,,,,,,,,,,,,,,
50.0,366904,33.20697021484375,0.066064453125,22151.646484375,-0.005866700466140173,-2.3110672242939474,1.1920928955078125e-07,0.015058452,1790,0.0003,0.2,47188.79774169922,,,,,
50.0,367404,32.37382507324219,,,,,,,,,,,,,,,
50.0,367904,28.54033088684082,,,,,,,,,,,,,,,
50.0,368404,33.666404724121094,,,,,,,,,,,,,,,
50.0,368904,29.25984001159668,0.07802734375,27186.6015625,-0.007270637786132283,-2.31056003421545,0.0,0.015657172,1800,0.0003,0.2,49458.813952636716,,,,,
50.0,369404,33.39063262939453,,,,,,,,,,,,,,,
50.0,369904,32.59819793701172,,,,,,,,,,,,,,,
50.0,370404,32.81977844238281,,,,,,,,,,,,,,,
50.0,370904,32.37900924682617,0.034912109375,22090.919921875,-0.002831936243455857,-2.3090203404426575,0.0,0.0092274975,1810,0.0003,0.2,47522.4373046875,,,,,
50.0,371404,31.67879295349121,,,,,,,,,,,,,,,
50.0,371904,32.94779586791992,,,,,,,,,,,,,,,
50.0,372404,32.57795333862305,,,,,,,,,,,,,,,
50.0,372904,29.552989959716797,0.03896484375,23633.84765625,-0.0033260508498642594,-2.304014004766941,0.0,0.012022148,1820,0.0003,0.2,45506.818884277345,,,,,
50.0,373404,32.62760543823242,,,,,,,,,,,,,,,
50.0,373904,32.068275451660156,,,,,,,,,,,,,,,
50.0,374404,29.208898544311523,,,,,,,,,,,,,,,
,374784,,,,,,,,,,,,50.0,1061,1322.44502218,115,60
50.0,374904,32.92469024658203,0.096337890625,22860.515625,-0.008213285644887946,-2.314668908715248,0.0,0.016219813,1830,0.0003,0.2,45461.15512695313,,,,,
50.0,375404,33.388702392578125,,,,,,,,,,,,,,,
50.0,375904,31.871292114257812,,,,,,,,,,,,,,,
50.0,376404,31.893367767333984,,,,,,,,,,,,,,,
50.0,376904,34.04710006713867,0.067236328125,23382.392578125,-0.006098620611010119,-2.312430337816477,-1.1920928955078125e-07,0.015301382,1840,0.0003,0.2,43765.14895019531,,,,,
50.0,377404,32.92082977294922,,,,,,,,,,,,,,,
50.0,377904,32.632301330566406,,,,,,,,,,,,,,,
50.0,378404,32.937583923339844,,,,,,,,,,,,,,,
50.0,378904,31.632183074951172,0.1123046875,21525.81640625,-0.010261241512489505,-2.3164096660912037,0.0,0.016758747,1850,0.0003,0.2,43445.396008300784,,,,,
50.0,379404,32.167518615722656,,,,,,,,,,,,,,,
50.0,379904,31.79669189453125,,,,,,,,,,,,,,,
50.0,380404,32.69451141357422,,,,,,,,,,,,,,,
50.0,380904,31.756357192993164,,,,,,,,,,,,,,,
50.0,381404,31.70294189453125,0.105908203125,21361.443359375,-0.009793874970637263,-2.3185184098780156,0.0,0.014684776,1860,0.0003,0.2,44010.64853515625,,,,,
50.0,381904,33.21166229248047,,,,,,,,,,,,,,,
50.0,382404,32.20941925048828,,,,,,,,,,,,,,,
50.0,382904,32.01068115234375,,,,,,,,,,,,,,,
50.0,383404,31.58651351928711,0.098583984375,20944.80859375,-0.008764457324286924,-2.3071287117898462,1.1920928955078125e-07,0.015999041,1870,0.0003,0.2,45979.39931640625,,,,,
50.0,383904,30.844518661499023,,,,,,,,,,,,,,,
50.0,384404,33.040462493896484,,,,,,,,,,,,,,,
50.0,384904,32.35504913330078,,,,,,,,,,,,,,,
50.0,385404,31.90066146850586,0.01748046875,22205.6640625,-0.0011527991126058623,-2.305038229376078,0.0,0.008364387,1880,0.0003,0.2,45763.16826171875,,,,,
50.0,385904,31.890361785888672,,,,,,,,,,,,,,,
50.0,386404,33.07582092285156,,,,,,,,,,,,,,,
50.0,386904,32.318668365478516,,,,,,,,,,,,,,,
50.0,387404,30.947200775146484,0.096875,21538.2109375,-0.00910775337542873,-2.3141569077968596,1.1920928955078125e-07,0.016708001,1890,0.0003,0.2,41554.078344726564,,,,,
50.0,387904,30.976581573486328,,,,,,,,,,,,,,,
50.0,388404,33.23015594482422,,,,,,,,,,,,,,,
50.0,388904,31.537546157836914,,,,,,,,,,,,,,,
50.0,389404,34.24262237548828,0.073828125,20888.7890625,-0.006454018226941116,-2.304214658588171,0.0,0.014012447,1900,0.0003,0.2,45698.250805664065,,,,,
50.0,389904,31.588991165161133,,,,,,,,,,,,,,,
50.0,390404,30.01964569091797,,,,,,,,,,,,,,,
50.0,390904,31.534011840820312,,,,,,,,,,,,,,,
50.0,391404,31.81888771057129,0.079638671875,18560.978515625,-0.00681848265521694,-2.2823810912668705,0.0,0.014942174,1910,0.0003,0.2,40588.74010009765,,,,,
50.0,391904,27.4114990234375,,,,,,,,,,,,,,,
50.0,392404,31.532115936279297,,,,,,,,,,,,,,,
50.0,392904,32.854881286621094,,,,,,,,,,,,,,,
50.0,393404,31.62554931640625,0.1076171875,22092.8984375,-0.009525592307909392,-2.2803721226751805,0.0,0.012908578,1920,0.0003,0.2,43721.72956542969,,,,,
50.0,393904,30.66720962524414,,,,,,,,,,,,,,,
50.0,394404,31.598297119140625,,,,,,,,,,,,,,,
50.0,394904,32.56782913208008,,,,,,,,,,,,,,,
,395264,,,,,,,,,,,,50.0,1161,1304.52567211,123,70
50.0,395404,32.178192138671875,0.11572265625,19684.873046875,-0.010409949542372487,-2.282946603000164,0.0,0.012422223,1930,0.0003,0.2,41102.14997558594,,,,,
50.0,395904,32.63579177856445,,,,,,,,,,,,,,,
50.0,396404,33.00445556640625,,,,,,,,,,,,,,,
50.0,396904,32.85840606689453,,,,,,,,,,,,,,,
50.0,397404,32.714698791503906,0.07861328125,20419.951171875,-0.006589828614960424,-2.288568377494812,0.0,0.015986718,1940,0.0003,0.2,41101.62517700195,,,,,
50.0,397904,31.9830322265625,,,,,,,,,,,,,,,
50.0,398404,29.273910522460938,,,,,,,,,,,,,,,
50.0,398904,32.531402587890625,,,,,,,,,,,,,,,
50.0,399404,31.79757308959961,0.04765625,19487.103515625,-0.004123261047061533,-2.279512136429548,-2.384185791015625e-07,0.010607512,1950,0.0003,0.2,41417.470153808594,,,,,
50.0,399904,33.03236770629883,,,,,,,,,,,,,,,
